DATE,vwretd,ewretd
19270103,-0.007792,-0.002992
19270104,0.003069,0.004951
19270105,0.001561,0.003555
19270106,-0.001545,-0.000953
19270107,0.003344,0.002966
19270108,0.003936,0.006565
19270110,0.001575,0.003001
19270111,-0.002796,-0.001963
19270112,0.000817,-0.000095
19270113,-0.000336,0.000673
19270114,0.000482,-0.001561
19270115,0.001517,0.005151
19270117,-0.000384,-0.000899
19270118,-0.000510,0.000385
19270119,0.005986,0.004360
19270120,-0.001564,-0.002167
19270121,-0.000027,0.004394
19270122,-0.003453,-0.002802
19270124,-0.004610,-0.002166
19270125,-0.010576,-0.014096
19270126,0.002111,0.002475
19270127,-0.003505,-0.004622
19270128,0.001686,0.004123
19270129,0.007384,0.005546
19270131,0.006522,0.006307
19270201,-0.000077,0.003404
19270202,0.007522,0.009497
19270203,0.001981,0.001313
19270204,0.003601,0.003778
19270205,-0.001772,0.000549
19270207,-0.001283,0.000914
19270208,0.001042,0.004006
19270209,0.000411,-0.002213
19270210,0.001077,0.006927
19270211,0.003158,0.004396
19270214,0.004909,0.005904
19270215,0.001157,0.001952
19270216,0.000231,0.002337
19270217,0.003287,0.003654
19270218,0.003039,0.000842
19270219,0.000087,0.001367
19270221,-0.001482,-0.000520
19270223,0.007267,0.007727
19270224,0.001484,0.001198
19270225,0.002336,0.003865
19270226,0.000733,0.000499
19270228,0.005863,0.005169
19270301,-0.003648,-0.006302
19270302,-0.011422,-0.010810
19270303,0.010289,0.006467
19270304,-0.004491,-0.001816
19270305,-0.002308,-0.000713
19270307,-0.003621,-0.005224
19270308,0.001291,-0.003051
19270309,0.005055,0.005593
19270310,0.004607,0.004417
19270311,0.001669,0.003601
19270312,-0.000183,0.002787
19270314,0.001816,-0.001713
19270315,-0.007828,-0.009347
19270316,0.010140,0.003415
19270317,0.004147,0.002465
19270318,-0.007786,-0.008375
19270319,0.000420,0.002612
19270321,0.001812,-0.002061
19270322,-0.010282,-0.010153
19270323,0.002014,0.001688
