DATE,vw,ew
19271125,0.3,0.39
19271126,0.82,0.69
19271128,-0.47,0.17
19271129,1.6,1.57
19271130,0.69,1.4
19271201,-0.63,-0.18
19271202,-0.19,0.19
19271203,0.11,0.24
19271205,-0.32,-0.07
19271206,0.59,0.08
19271207,-0.73,-0.73
19271208,-1.13,-1.02
19271209,1.5,1.13
19271210,0.69,0.8
19271212,0.96,1.29
19271213,0.06,0.38
19271214,-0.27,-0.45
19271215,1.0,1.48
19271216,0.39,0.06
19271217,0.09,0.34
19271219,0.04,0.07
19271220,-0.16,-0.35
19271221,-0.14,0.71
19271222,-0.36,-0.07
19271223,-0.27,-0.2
19271224,0.37,0.35
19271227,0.11,0.4
19271228,-0.65,-1.11
19271229,-0.58,-0.71
19271230,1.56,2.01
19271231,0.32,0.52
19280103,1.5,1.6
19280104,0.39,0.52
19280105,-1.15,-0.47
19280106,1.18,1.26
19280107,0.27,0.61
19280109,-0.75,-0.48
19280110,-1.27,-1.3
19280111,0.88,1.28
19280112,0.88,0.82
19280113,0.65,0.74
19280114,-0.65,-0.25
19280116,-1.48,-0.68
19280117,0.93,1.14
19280118,-0.9,-0.75
19280119,0.75,0.4
19280120,1.05,0.94
19280121,0.64,0.71
19280123,0.91,0.84
19280124,0.53,1.14
19280125,-1.42,-1.61
19280126,1.03,1.12
19280127,0.07,0.03
19280128,0.18,0.08
19280130,-0.86,-1.04
19280131,1.82,1.8
19280201,0.07,0.33
19280202,0.74,1.04
19280203,-1.61,-1.39
19280204,-0.4,-0.52
19280206,0.68,0.94
19280207,-0.89,-1.2
19280208,-0.49,-0.92
19280209,0.33,0.52
19280210,-0.3,-0.34
19280211,0.45,0.86
19280214,0.38,0.04
19280215,-0.52,-0.02
19280216,-1.04,-0.5
19280217,-2.64,-2.44
19280218,-1.17,-1.16
19280220,0.44,0.75
19280221,1.52,1.54
19280223,0.4,0.52
19280224,0.26,0.01
19280225,0.11,0.2
19280227,-0.36,-0.04
19280228,0.29,0.67
19280229,1.01,0.61
19280301,0.22,0.69
19280302,0.13,-0.08
19280303,0.17,0.49
19280305,0.27,0.03
19280306,0.75,0.72
19280307,-0.42,-0.28
19280308,0.12,-0.1
19280309,0.71,1.21
19280310,-0.83,-0.98
19280312,0.14,-0.06
19280313,-0.09,0.0
19280314,0.27,0.14
19280315,0.66,0.88
19280316,0.22,0.35
19280317,0.31,0.37
19280319,0.84,0.74
19280320,0.86,0.86
19280321,0.96,1.04
19280322,-0.87,-0.63
19280323,0.35,0.1
19280324,-0.47,-0.3
19280326,0.74,0.39
19280327,0.09,0.12
19280328,0.11,0.05
19280329,0.59,0.75
19280330,1.38,1.52
19280331,-0.16,-0.26
19280402,-0.04,0.37
19280403,0.71,0.34
19280404,0.16,0.89
19280405,1.0,0.67
19280409,1.21,1.47
19280410,-0.62,-0.52
19280411,1.47,1.9
19280412,0.61,1.23
19280413,1.11,1.49
19280414,-0.38,0.02
19280416,0.06,0.05
19280417,-0.37,-0.3
19280418,0.39,0.43
19280419,1.27,1.48
19280420,-0.76,-1.05
19280423,0.07,-0.27
19280424,0.56,-0.19
19280425,1.46,2.17
19280426,0.91,1.35
19280427,1.55,2.02
19280428,0.5,0.52
19280430,0.18,0.19
19280501,0.57,0.7
19280502,0.09,0.5
19280503,0.69,0.76
19280504,1.17,0.97
19280507,1.02,1.54
19280508,-0.97,-0.54
19280509,0.55,0.37
19280510,-0.17,0.11
19280511,1.55,1.1
19280514,1.14,1.93
19280515,0.96,1.19
19280516,-1.84,-1.45
19280517,0.32,0.3
19280518,-0.25,0.0
19280521,-0.37,0.4
19280522,-2.0,-1.68
19280523,1.82,1.26
19280524,1.49,1.81
19280525,0.67,0.92
19280528,-2.32,-1.63
19280529,0.53,0.36
19280531,1.82,2.0
19280601,0.16,-0.06
19280602,0.78,0.74
19280604,-2.04,-1.47
19280605,0.67,0.56
19280606,-0.41,-0.26
19280607,-1.89,-1.89
19280608,-2.23,-2.2
19280609,-1.75,-1.44
19280611,-4.2,-3.59
19280612,-5.16,-5.6
19280613,3.94,3.69
19280614,3.31,3.72
19280615,-1.32,-1.01
19280616,-0.67,-0.65
19280618,-2.09,-1.53
19280619,-2.21,-2.5
19280620,1.3,1.02
19280621,0.91,1.13
19280622,0.68,0.61
19280623,-0.61,-0.47
19280625,-0.46,-0.45
19280626,1.01,1.17
19280627,1.56,1.13
19280628,0.37,0.39
19280629,1.04,0.51
19280630,0.09,0.66
19280702,-1.46,-1.52
19280703,1.62,1.23
19280705,1.14,1.29
19280706,-0.01,-0.15
19280707,0.66,0.76
19280709,-0.25,-0.25
19280710,-0.3,-0.35
19280711,-2.33,-2.27
19280712,-1.34,-1.39
19280713,0.63,0.66
19280714,0.08,0.38
19280716,-1.54,-1.24
19280717,0.43,0.19
19280718,0.8,0.56
19280719,0.57,0.49
19280720,-0.15,0.28
19280721,-0.18,0.02
19280723,0.43,0.19
19280724,0.38,0.61
19280725,-0.21,-0.25
19280726,0.19,0.35
19280727,0.43,0.49
19280728,0.09,0.12
19280730,-0.21,0.03
19280731,-0.05,-0.14
19280801,0.12,0.0
19280802,-0.62,-0.66
19280803,-0.06,-0.21
19280804,0.42,0.7
19280806,0.41,0.43
19280807,-0.03,-0.22
19280808,-1.11,-0.94
19280809,-0.54,-0.53
19280810,-0.12,-0.1
19280811,0.02,0.47
19280813,0.34,0.43
19280814,-0.74,-0.8
19280815,0.55,0.65
19280816,0.41,0.42
19280817,0.0,-0.1
19280818,0.81,0.69
19280820,0.35,0.22
19280821,0.38,0.25
19280822,0.48,0.79
19280823,-0.16,-0.45
19280824,1.21,1.49
19280825,0.03,0.16
19280827,0.21,-0.01
19280828,-0.41,0.1
19280829,0.28,0.29
19280830,0.53,0.8
19280831,0.29,0.43
19280901,0.29,0.65
19280904,0.49,0.49
19280905,0.32,0.65
19280906,-0.88,-0.84
19280907,1.17,0.53
19280908,-0.25,0.01
19280910,-0.15,0.48
19280911,0.26,0.33
19280912,0.46,0.43
19280913,-0.43,-0.08
19280914,0.55,0.55
19280915,0.4,0.4
19280917,1.31,1.13
19280918,0.04,0.22
19280919,0.2,0.39
19280920,1.14,1.0
19280921,0.43,0.94
19280922,-0.02,-0.2
19280924,0.75,0.64
19280925,-0.07,0.29
19280926,-0.13,-0.03
19280927,-1.49,-1.06
19280928,-0.67,-0.92
19280929,1.03,0.94
19281001,0.46,0.29
19281002,-0.48,-0.35
19281003,0.17,-0.06
19281004,0.49,0.77
19281005,0.5,0.11
19281006,0.06,0.04
19281008,-1.14,-0.75
19281009,-0.14,-0.08
19281010,1.27,0.96
19281011,0.13,0.29
19281013,0.73,0.7
19281015,0.11,0.32
19281016,0.3,0.47
19281017,1.16,1.08
19281018,0.04,-0.02
19281019,-0.07,-0.04
19281020,0.14,-0.07
19281022,0.03,0.23
19281023,0.87,0.6
19281024,0.53,0.41
19281025,-0.61,0.32
19281026,-1.35,-1.19
19281027,1.02,0.61
19281029,0.79,1.33
19281030,-1.38,-1.55
19281031,-1.2,-1.0
19281101,0.77,0.88
19281102,0.06,0.0
