caldt,vwretd,ewretd
19261220,-0.002058815,-0.001217909
19261221,-0.0001949452,-0.001059283
19261222,-0.0002818235,-0.0004266919
19261223,0.003182355,0.001858181
19261224,0.002511714,8.808912e-05
19261227,-0.002874424,-0.003600949
19261228,-0.01145285,-0.01228755
19261229,0.004786558000000001,0.005563680000000001
19261230,-0.004444076,-0.003022239
19261231,0.003358288,0.004156134000000001
19270103,-0.008617637000000001,-0.008071725
19270104,0.003065443,0.003888079
19270105,0.0003532287,0.002796185
19270106,-0.002885672,-0.002850399
19270107,0.00415915,0.004235747000000001
19270108,0.002360553,0.002762995
19270110,0.001839325,0.001127103
19270111,-0.002883689,-0.001630069
19270112,0.001962436,-0.001351178
19270113,-0.000270036,-0.001469859
19270114,0.0006569855000000001,-3.583267e-05
19270115,0.001562378,0.001139792
19270117,-0.0009739483000000001,0.0002743536
19270118,-0.0005423275000000001,-0.001151848
19270119,0.00604114,0.006351228
19270120,-0.0008933237,-0.0008369702
19270121,-0.001481466,-0.001431635
19270122,-0.003789603,-0.003728492
19270124,-0.005007748,-0.003530947
19270125,-0.01137468,-0.01092849
19270126,0.001746794,0.001179993
19270127,-0.003849921,-0.004652874
19270128,0.001863287,0.002470397
19270129,0.008494703000000001,0.007638901000000001
19270131,0.006255396000000001,0.004897138000000001
19270201,-0.001505185,-0.001124678
19270202,0.009637672,0.007829092000000001
19270203,0.001653822,0.000984161
19270204,0.002386461,-0.0001378698
19270205,-0.002766292,-0.002184642
19270207,-0.001030182,8.858400999999999e-05
19270208,7.170476e-05,0.0005259336
19270209,0.0005561421000000001,0.001555424
19270210,0.001447478,0.002518865
19270211,0.00479249,0.004288186
19270214,0.004225254,0.002652212
19270215,0.00106299,0.001603245
19270216,2.639663e-05,0.0006188448000000001
19270217,0.004634826,0.003843098
19270218,0.003451796,0.002430746
19270219,0.0004208456,0.001565303
19270221,-0.002045483,-0.0006942879
19270223,0.008067923000000001,0.00897481
19270224,0.0004235016,-0.0007380585
19270225,0.002428992,0.002776209
19270226,0.0004533784,0.001061644
19270228,0.006420155,0.004747259
19270301,-0.002925285,-0.003596537
19270302,-0.01315541,-0.01356402
19270303,0.01230028,0.009430992000000001
19270304,-0.006259803,-0.004414864
19270305,-0.002546635,-0.003832935
19270307,-0.003553554,-0.003846029
19270308,0.001779978,8.966314e-05
19270309,0.00572954,0.00517672
19270310,0.005052363000000001,0.004077517
19270311,0.002228881,0.003646897
19270312,-0.0006752755,9.892785999999999e-05
19270314,0.002368478,-0.0004010721
19270315,-0.007266652,-0.008651865
19270316,0.008578971000000001,0.006207649
19270317,0.004689911000000001,0.003320587
19270318,-0.007122066000000001,-0.007577851000000001
19270319,0.0003685062,-0.0005854312
19270321,0.002959955,0.003302918
19270322,-0.01041066,-0.01029115
19270323,0.003245914,0.004545061
19270324,0.006172567,0.006397814000000001
19270325,0.0007253782,0.001249851
19270326,0.002515419,0.0006173688
19270328,0.00594007,0.003585188
19270329,-0.001966257,-0.003537434
19270330,-0.004722614,-0.004604347
19270331,0.003725706,0.003344396
19270401,0.0004098518,-0.001564832
19270402,-0.00146132,0.0008009068
19270404,0.006415318000000001,0.006533603000000001
19270405,0.004140283000000001,0.001124189
19270406,0.0002762784,0.0009070304
19270407,0.001557191,0.0008978375
19270408,0.00424285,0.002574633
19270409,0.0004072505,0.0002595519
19270411,0.002566629,0.003018973
19270412,-0.003138705,-0.003251913
19270413,0.003286455,0.00245938
19270414,0.001384196,0.003171953
19270416,0.002369035,0.004150817
19270418,-0.0005566305,2.79381e-05
19270419,0.001076315,0.001109713
19270420,0.003317749,0.001177034
19270421,0.005326031,0.002295102
19270422,0.002766645,0.00100946
19270423,-0.003021189,-0.002882374
19270425,-0.01529159,-0.01451944
19270426,0.005388301000000001,0.006819671
19270427,-0.002214713,-0.002330654
19270428,-0.01129136,-0.009844126
19270429,0.006170254,0.00519602
19270430,-0.0008801835,-0.001662161
19270502,0.002605226,0.002634635
19270503,0.007939376,0.006013458
19270504,0.007379743,0.007626058000000001
19270505,0.002867148,0.003363788
19270506,0.003161112,0.004376504000000001
19270507,0.003837244,0.003914298
19270509,0.001416206,0.002535622
19270510,0.0003710646,-0.0009057854
19270511,-0.00342668,-0.002829031
19270512,-0.0009374931,-0.001642933
19270513,0.005797633,0.006753093000000001
19270514,0.000582533,0.002938808
19270516,-0.006652851,-0.005869019
19270517,0.005213974000000001,0.005493531
19270518,0.006618077,0.003526013
19270519,0.001994549,0.002333118
19270520,0.006045514,0.007766144000000001
19270521,0.001871339,0.004201046
19270523,0.001301675,0.0002895793
19270524,-0.001726487,-0.00166818
19270525,0.002411004,0.0006604518
19270526,0.00203659,0.002557701
19270527,0.004675779000000001,0.003679649
19270528,0.001742819,0.001256066
19270531,0.003515279,0.003674849
19270601,0.004143040000000001,0.003961013
19270602,0.0009885762,0.002612077
19270603,-0.01033297,-0.01130768
19270604,0.005088189,0.005224126
19270606,0.004397889,0.003931195
19270607,-0.003743605,-0.00580571
19270608,0.002569555,0.002029594
19270609,0.0001823106,-0.0003515591
19270610,-0.003577236,-0.003451924
19270611,-0.0006722393,-0.0008101737
19270614,-0.0165416,-0.01598398
19270615,0.007675136000000001,0.00749083
19270616,0.007492297,0.006762248
19270617,0.001420561,0.003475154
19270618,-0.001852086,-0.001892727
19270620,-0.001565971,-0.00280178
19270621,-0.002909238,-0.0001256016
19270622,0.001241531,0.0009368719
19270623,-0.007725407,-0.009800376000000001
19270624,0.001930668,0.002695095
19270625,-0.001342228,-0.001783745
19270627,-0.01111391,-0.01196351
19270628,0.00299309,0.001463088
19270629,0.0005093045,0.0004646594
19270630,0.0003666744,-0.0007310086
19270701,0.006432904000000001,0.006292411
19270702,0.005704593,0.005755516
19270705,0.009470021,0.008569549000000001
19270706,0.00589513,0.007837649
19270707,-0.001918075,-0.002842898
19270708,-0.001520355,-0.002241973
19270709,0.001413643,0.0007773492000000001
19270711,0.004724885000000001,0.005493142
19270712,0.00453263,0.00466932
19270713,0.002393154,0.002428025
19270714,0.004560339,0.0025771
19270715,0.002289628,0.002517197
19270716,0.0007330737,0.0006938201
19270718,0.001900942,0.001523497
19270719,0.004540423,0.001435632
19270720,0.004964295000000001,0.004727854
19270721,0.0004684718,-0.0004679634
19270722,-0.001104361,-0.002696704
19270723,0.00164416,0.001536035
19270725,0.004732443,0.003086212
19270726,0.003808913,0.002894729
19270727,0.001580885,0.001956316
19270728,0.00305046,-0.000377236
19270729,0.00484543,0.004266546
19270730,0.005953105,0.00510071
19270801,0.006614177000000001,0.005655436000000001
19270802,0.009026522,0.007590599000000001
19270803,-0.008569184,-0.005724073000000001
19270804,0.00858864,0.007595262
19270805,-0.007225348,-0.005850059
19270806,-0.002317209,-0.001614474
19270808,-0.01106169,-0.009864454
19270809,0.01002078,0.01016574
19270810,0.003468275,0.003930971
19270811,-0.009456317,-0.009593167000000001
19270812,-0.01429766,-0.01467067
19270813,0.009217436,0.009859934
19270815,0.01385343,0.01468501
19270816,0.005423448,0.007333136000000001
19270817,0.001886098,0.001213484
19270818,0.0009950987,0.001572322
19270819,0.003747669,0.002165871
19270820,0.003333707,0.001324544
19270822,0.005264182,0.005402334
19270823,0.001170949,0.0009275277000000001
19270824,0.002571353,0.002722791
19270825,0.0009920751,-0.00316987
19270826,0.004483768,0.001732829
19270827,-0.001033818,-0.001745784
19270829,0.001170503,0.0006749461
19270830,0.001138566,-0.0002009017
19270831,-0.005796295000000001,-0.005450144000000001
19270901,0.008470407000000001,0.00842645
19270902,0.00675969,0.008602191
19270903,0.005679613,0.004851520000000001
19270906,0.009963267000000001,0.009098785
19270907,0.00506727,0.007349339000000001
19270908,-0.0009313423,-0.001315202
19270909,-0.005484082,-0.00835399
19270910,0.004256766,0.004480323
19270912,-0.004524066,-0.006359031
19270913,0.01311675,0.01106414
19270914,0.003457038,0.001828229
19270915,0.004965287000000001,0.003009771
19270916,0.001130931,0.001474372
19270917,-0.002766531,-0.0005552386
19270919,-0.005467004,-0.004708637
19270920,0.004687559,0.006301050000000001
19270921,-0.001200013,0.001651641
19270922,-0.01184317,-0.01157526
19270923,0.004718713,0.005402808
19270924,0.007921227000000001,0.00634029
19270926,-0.01048269,-0.007201397000000001
19270927,0.002450293,0.002254873
19270928,-0.003686445,-0.002163908
19270929,0.002000486,0.001845963
19270930,0.01410796,0.0145078
19271001,0.005388886000000001,0.005575727
19271003,0.004168869,0.005944878000000001
19271004,-0.003871314,-0.007709776000000001
19271005,-0.003317049,-0.004151528000000001
19271006,0.003630717,0.005876733
19271007,-0.008777149,-0.00846116
19271008,-0.003507673,-0.004611655
19271010,-0.006973164,-0.009597003
19271011,0.001170463,0.003036493
19271013,0.008005803,0.006571061
19271014,-0.0002537954,0.0003535401
19271015,-0.0003990762,-0.0002154581
19271017,-0.01448958,-0.01368961
19271018,0.00398945,0.003817427
19271019,-0.01069895,-0.009814350000000001
19271020,-0.01059781,-0.008232237
19271021,-0.007790048000000001,-0.008237164
19271022,-0.008030774000000001,-0.006207466
19271024,0.00331456,0.00387702
19271025,0.01795845,0.01686628
19271026,0.0004911749,0.0008222281000000001
19271027,-0.004833075,-0.003103696
19271028,-0.01553752,-0.0152558
19271029,-0.004279578,-0.004925537000000001
19271031,0.00802521,0.005873441
19271101,0.0001540896,-0.001009904
19271102,0.01116794,0.008162953
19271103,0.0113457,0.008199286
